Date,Product Name,Category,Cost Price,Selling Price,Quantity
2026-04-16,Chips,Snacks,15.0,30.0,20
2026-03-06,Soap,Personal Care,20.0,35.0,55
2026-01-06,Milk,Dairy,25.0,35.0,38
2026-03-18,Premium Coffee,Beverages,200.0,350.0,15
2026-03-16,Shampoo,Personal Care,70.0,110.0,49
2026-01-25,Chips,Snacks,15.0,30.0,75
2026-04-18,Soap,Personal Care,20.0,35.0,13
2026-02-22,Milk,Dairy,25.0,35.0,49
2026-02-13,Oil,Groceries,90.0,130.0,45
2026-04-27,Soap,Personal Care,20.0,35.0,21
2026-01-11,Rice,Grains,40.0,55.0,52
2026-04-10,Coffee,Beverages,100.0,150.0,16
2026-02-18,Rice,Grains,40.0,55.0,20
2026-04-21,Shampoo,Personal Care,70.0,110.0,30
2026-03-07,Coffee,Beverages,100.0,150.0,10
2026-02-24,Rice,Grains,40.0,55.0,55
2026-04-19,Shampoo,Personal Care,70.0,110.0,27
2026-02-13,Biscuits,Snacks,10.0,20.0,21
2026-02-11,Biscuits,Snacks,10.0,20.0,77
2026-02-25,Tea Powder,Beverages,80.0,120.0,55
2026-03-19,Chips,Snacks,15.0,30.0,30
2026-04-09,Shampoo,Personal Care,70.0,110.0,12
2025-11-01,Old Chips,Snacks,20.0,30.0,0
2026-01-11,Biscuits,Snacks,10.0,20.0,38
2026-03-03,Bread,Bakery,20.0,30.0,19
2026-02-16,Milk,Dairy,25.0,35.0,14
2026-02-05,Rice,Grains,40.0,55.0,41
2026-02-12,Soap,Personal Care,20.0,35.0,71
2026-03-11,Rice,Grains,40.0,55.0,20
2026-02-06,Tea Powder,Beverages,80.0,120.0,65
2026-04-28,Coffee,Beverages,100.0,150.0,52
2026-01-16,Oil,Groceries,90.0,130.0,39
2026-05-01,Tea Powder,Beverages,80.0,120.0,74
2026-03-18,Premium Coffee,Beverages,200.0,350.0,18
2026-04-24,Oil,Groceries,90.0,130.0,73
2026-04-02,Soap,Personal Care,20.0,35.0,42
2026-01-09,Coffee,Beverages,100.0,150.0,67
2026-03-12,Coffee,Beverages,100.0,150.0,66
2025-10-15,Expired Milk,Dairy,25.0,35.0,0
2026-03-15,Festival Biscuits,Snacks,10.0,25.0,170
2026-03-11,Rice,Grains,40.0,55.0,55
2026-01-31,Soap,Personal Care,20.0,35.0,67
2026-01-18,Biscuits,Snacks,10.0,20.0,47
2026-01-15,Chips,Snacks,15.0,30.0,31
2025-11-01,Old Chips,Snacks,20.0,30.0,0
2026-04-30,Shampoo,Personal Care,70.0,110.0,32
2026-01-22,Soap,Personal Care,20.0,35.0,72
2026-01-14,Chips,Snacks,15.0,30.0,72
2026-03-22,Milk,Dairy,25.0,35.0,62
2026-01-24,Bread,Bakery,20.0,30.0,42
2026-01-07,Oil,Groceries,90.0,130.0,28
2026-04-09,Chips,Snacks,15.0,30.0,48
2026-04-28,Milk,Dairy,25.0,35.0,15
2026-01-02,Coffee,Beverages,100.0,150.0,67
2026-03-18,Premium Coffee,Beverages,200.0,350.0,10
2026-02-10,Coffee,Beverages,100.0,150.0,26
2026-04-11,Rice,Grains,40.0,55.0,43
2026-02-16,Coffee,Beverages,100.0,150.0,41
2026-03-29,Shampoo,Personal Care,70.0,110.0,66
2026-03-10,Bread,Bakery,20.0,30.0,73
2026-04-17,Chips,Snacks,15.0,30.0,5
2026-01-26,Shampoo,Personal Care,70.0,110.0,20
2026-02-11,Chips,Snacks,15.0,30.0,24
2026-03-24,Oil,Groceries,90.0,130.0,65
2026-02-19,Bread,Bakery,20.0,30.0,29
2026-02-25,Bread,Bakery,20.0,30.0,30
2026-04-08,Biscuits,Snacks,10.0,20.0,58
2026-02-19,Shampoo,Personal Care,70.0,110.0,22
2026-02-12,Soap,Personal Care,20.0,35.0,61
2026-02-02,Coffee,Beverages,100.0,150.0,57
2026-03-29,Soap,Personal Care,20.0,35.0,64
2026-01-19,Tea Powder,Beverages,80.0,120.0,36
2026-04-23,Tea Powder,Beverages,80.0,120.0,25
2026-03-15,Festival Biscuits,Snacks,10.0,25.0,162
2026-04-19,Rice,Grains,40.0,55.0,51
2026-01-15,Chips,Snacks,15.0,30.0,35
